nume,pret,sortimente,Date,RobotName,RobotVersion,Sortiment,Post cheltuieli
Caise Deshidratate Orlando's 400g,26.41 Lei/buc 66.02 kilogram,Fructe,20170803,cora,v1,,
Stafide brune Pirifan 200g,4.82 Lei/buc 24.10 kilogram,Fructe,20170803,cora,v1,,
Orlando's stafide brune 250g,5.23 Lei/buc 20.92 kilogram,Fructe,20170803,cora,v1,,
Kumquats,36.99 Lei/kilogram,Fructe,20170803,cora,v1,,
Physalis deshidratat Jasmin 100g,10.20 Lei/buc 102.00 kilogram,Fructe,20170803,cora,v1,,
Caise Deshidratate Orlando's 200g,17.82 Lei/buc 89.10 kilogram,Fructe,20170803,cora,v1,,
Bio Natur curmale Medjool deshidratate 200g,21.54 Lei/buc 107.70 kilogram,Fructe,20170803,cora,v1,,
Merisoare in ciocolata Pszczotka 90g,4.62 Lei/buc 51.33 kilogram,Fructe,20170803,cora,v1,,
Orlando's Mix Fitness 100g,6.84 Lei/buc 68.40 kilogram,Fructe,20170803,cora,v1,,
Orlando'S Stafide Brune 500g,10.32 Lei/buc 20.64 kilogram,Fructe,20170803,cora,v1,,
Bio Natur smochine deshidratate bio 200g,20.64 Lei/buc 103.20 kilogram,Fructe,20170803,cora,v1,,
Bio Natur nuci de Brazilia crude 150g,20.64 Lei/buc 137.60 kilogram,Fructe,20170803,cora,v1,,
Cocktail de Fructe Orlando's 400g,19.29 Lei/buc 48.22 kilogram,Fructe,20170803,cora,v1,,
Agrise Jasmin 100g,7.98 Lei/buc 79.80 kilogram,Fructe,20170803,cora,v1,,
Bio Natur mango deshidratat 125g,20.64 Lei/buc 165.12 kilogram,Fructe,20170803,cora,v1,,
Bio Natur prune deshidratate 150g,20.64 Lei/buc 137.60 kilogram,Fructe,20170803,cora,v1,,
Orlando's cirese rosii confiate 200g,15.23 Lei/buc 76.15 kilogram,Fructe,20170803,cora,v1,,
Bio Natur caise deshidratate 200g,20.64 Lei/buc 103.20 kilogram,Fructe,20170803,cora,v1,,
Bio Natur curmale Demeter deshidratate 200g,15.70 Lei/buc 78.50 kilogram,Fructe,20170803,cora,v1,,
Pere eco 320g,7.99 Lei/buc 24.97 kilogram,Fructe,20170803,cora,v1,,
Ardei kapia rosu,4.99 Lei/kilogram,Legume,20170803,cora,v1,,
Morcovi kg,1.59 Lei/kilogram,Legume,20170803,cora,v1,11501,113
Ardei Gras Bianca,2.49 Lei/kilogram,Legume,20170803,cora,v1,12101,113
Ceapa galbena,1.29 Lei/kilogram,Legume,20170803,cora,v1,11901,113
Rosii proaspete,3.29 Lei/kilogram,Legume,20170803,cora,v1,11701,113
Castraveti Cornichon,2.19 Lei/kilogram,Legume,20170803,cora,v1,12501,113
Dovlecei,1.29 Lei/kilogram,Legume,20170803,cora,v1,12504,113
Varza alba,0.99 Lei/kilogram,Legume,20170803,cora,v1,12302,113
Vinete kg,1.69 Lei/kilogram,Legume,20170803,cora,v1,,
Morcovi la punga de 1kg,1.89 Lei/buc 1.89 kilogram,Legume,20170803,cora,v1,,
